국적,목적,연도,월,분기,계절,입국자수
태국,기타,2007,12,4,겨울,1061
중국,관광,2008,1,1,봄,5467
중국,상용,2008,1,1,봄,4035
중국,공용,2008,1,1,봄,2768
중국,기타,2008,1,1,봄,2744
일본,관광,2008,1,1,봄,3697
일본,상용,2008,1,1,봄,2850
일본,공용,2008,1,1,봄,1801
일본,기타,2008,1,1,봄,1780
미국,관광,2008,1,1,봄,2742
미국,상용,2008,1,1,봄,2128
미국,공용,2008,1,1,봄,1414
미국,기타,2008,1,1,봄,1316
베트남,관광,2008,1,1,봄,1794
베트남,상용,2008,1,1,봄,1363
베트남,공용,2008,1,1,봄,932
베트남,기타,2008,1,1,봄,881
태국,관광,2008,1,1,봄,1915
태국,상용,2008,1,1,봄,1391
태국,공용,2008,1,1,봄,888
태국,기타,2008,1,1,봄,911
중국,관광,2008,2,1,봄,5836
중국,상용,2008,2,1,봄,4362
중국,공용,2008,2,1,봄,2923
중국,기타,2008,2,1,봄,2954
일본,관광,2008,2,1,봄,3931
일본,상용,2008,2,1,봄,2869
일본,공용,2008,2,1,봄,1994
일본,기타,2008,2,1,봄,1863
미국,관광,2008,2,1,봄,2866
미국,상용,2008,2,1,봄,2172
미국,공용,2008,2,1,봄,1488
미국,기타,2008,2,1,봄,1505
베트남,관광,2008,2,1,봄,1930
베트남,상용,2008,2,1,봄,1469
베트남,공용,2008,2,1,봄,937
베트남,기타,2008,2,1,봄,973
태국,관광,2008,2,1,봄,1938
태국,상용,2008,2,1,봄,1507
태국,공용,2008,2,1,봄,1003
태국,기타,2008,2,1,봄,970
중국,관광,2008,3,1,봄,7313
중국,상용,2008,3,1,봄,5441
중국,공용,2008,3,1,봄,3778
중국,기타,2008,3,1,봄,3536
일본,관광,2008,3,1,봄,4821
일본,상용,2008,3,1,봄,3530
일본,공용,2008,3,1,봄,2357
일본,기타,2008,3,1,봄,2450
미국,관광,2008,3,1,봄,3601
미국,상용,2008,3,1,봄,2711
미국,공용,2008,3,1,봄,1873
미국,기타,2008,3,1,봄,1849
베트남,관광,2008,3,1,봄,2442
베트남,상용,2008,3,1,봄,1779
베트남,공용,2008,3,1,봄,1204
베트남,기타,2008,3,1,봄,1224
태국,관광,2008,3,1,봄,2434
태국,상용,2008,3,1,봄,1730
태국,공용,2008,3,1,봄,1166
태국,기타,2008,3,1,봄,1209
중국,관광,2008,4,2,여름,7369
중국,상용,2008,4,2,여름,5741
중국,공용,2008,4,2,여름,3682
중국,기타,2008,4,2,여름,3769
일본,관광,2008,4,2,여름,5029
일본,상용,2008,4,2,여름,3824
일본,공용,2008,4,2,여름,2476
일본,기타,2008,4,2,여름,2553
미국,관광,2008,4,2,여름,3751
미국,상용,2008,4,2,여름,2756
미국,공용,2008,4,2,여름,1871
미국,기타,2008,4,2,여름,1913
베트남,관광,2008,4,2,여름,2483
베트남,상용,2008,4,2,여름,1912
베트남,공용,2008,4,2,여름,1280
베트남,기타,2008,4,2,여름,1299
태국,관광,2008,4,2,여름,2542
태국,상용,2008,4,2,여름,1941
태국,공용,2008,4,2,여름,1218
태국,기타,2008,4,2,여름,1330
중국,관광,2008,5,2,여름,6869
중국,상용,2008,5,2,여름,5163
중국,공용,2008,5,2,여름,3573
중국,기타,2008,5,2,여름,3371
일본,관광,2008,5,2,여름,4696
일본,상용,2008,5,2,여름,3412
일본,공용,2008,5,2,여름,2360
일본,기타,2008,5,2,여름,2382
미국,관광,2008,5,2,여름,3496
미국,상용,2008,5,2,여름,2645
미국,공용,2008,5,2,여름,1761
미국,기타,2008,5,2,여름,1681
베트남,관광,2008,5,2,여름,2181
베트남,상용,2008,5,2,여름,1672
베트남,공용,2008,5,2,여름,1185
베트남,기타,2008,5,2,여름,1150
태국,관광,2008,5,2,여름,2334
태국,상용,2008,5,2,여름,1736
태국,공용,2008,5,2,여름,1130
태국,기타,2008,5,2,여름,1169
중국,관광,2008,6,2,여름,6587
중국,상용,2008,6,2,여름,4837
중국,공용,2008,6,2,여름,3190
중국,기타,2008,6,2,여름,3332
일본,관광,2008,6,2,여름,4380
일본,상용,2008,6,2,여름,3296
일본,공용,2008,6,2,여름,2165
일본,기타,2008,6,2,여름,2192
미국,관광,2008,6,2,여름,3323
미국,상용,2008,6,2,여름,2495
미국,공용,2008,6,2,여름,1741
미국,기타,2008,6,2,여름,1618
베트남,관광,2008,6,2,여름,2158
베트남,상용,2008,6,2,여름,1633
베트남,공용,2008,6,2,여름,1139
베트남,기타,2008,6,2,여름,1082
태국,관광,2008,6,2,여름,2212
태국,상용,2008,6,2,여름,1653
태국,공용,2008,6,2,여름,1123
태국,기타,2008,6,2,여름,1101
중국,관광,2008,7,3,가을,6934
중국,상용,2008,7,3,가을,5191
중국,공용,2008,7,3,가을,3460
중국,기타,2008,7,3,가을,3480
일본,관광,2008,7,3,가을,4553
일본,상용,2008,7,3,가을,3450
일본,공용,2008,7,3,가을,2201
일본,기타,2008,7,3,가을,2343
미국,관광,2008,7,3,가을,3503
미국,상용,2008,7,3,가을,2579
미국,공용,2008,7,3,가을,1704
미국,기타,2008,7,3,가을,1657
베트남,관광,2008,7,3,가을,2313
베트남,상용,2008,7,3,가을,1742
베트남,공용,2008,7,3,가을,1163
베트남,기타,2008,7,3,가을,1103
태국,관광,2008,7,3,가을,2354
태국,상용,2008,7,3,가을,1733
태국,공용,2008,7,3,가을,1115
태국,기타,2008,7,3,가을,1134
중국,관광,2008,8,3,가을,7874
중국,상용,2008,8,3,가을,5905
중국,공용,2008,8,3,가을,3922
중국,기타,2008,8,3,가을,4050
일본,관광,2008,8,3,가을,5217
일본,상용,2008,8,3,가을,3960
일본,공용,2008,8,3,가을,2579
일본,기타,2008,8,3,가을,2680
미국,관광,2008,8,3,가을,3956
미국,상용,2008,8,3,가을,3020
미국,공용,2008,8,3,가을,1998
미국,기타,2008,8,3,가을,2018
베트남,관광,2008,8,3,가을,2772
베트남,상용,2008,8,3,가을,1890
베트남,공용,2008,8,3,가을,1296
베트남,기타,2008,8,3,가을,1380
태국,관광,2008,8,3,가을,2610
태국,상용,2008,8,3,가을,1977
태국,공용,2008,8,3,가을,1252
태국,기타,2008,8,3,가을,1217
중국,관광,2008,9,3,가을,7379
중국,상용,2008,9,3,가을,5440
중국,공용,2008,9,3,가을,3596
중국,기타,2008,9,3,가을,3741
일본,관광,2008,9,3,가을,4814
일본,상용,2008,9,3,가을,3578
일본,공용,2008,9,3,가을,2368
일본,기타,2008,9,3,가을,2410
미국,관광,2008,9,3,가을,3641
미국,상용,2008,9,3,가을,2644
미국,공용,2008,9,3,가을,1775
미국,기타,2008,9,3,가을,1862
베트남,관광,2008,9,3,가을,2418
베트남,상용,2008,9,3,가을,1864
베트남,공용,2008,9,3,가을,1142
베트남,기타,2008,9,3,가을,1212
태국,관광,2008,9,3,가을,2409
태국,상용,2008,9,3,가을,1861
태국,공용,2008,9,3,가을,1204
태국,기타,2008,9,3,가을,1223
중국,관광,2008,10,4,겨울,8099
중국,상용,2008,10,4,겨울,6287
중국,공용,2008,10,4,겨울,4079
중국,기타,2008,10,4,겨울,4069
일본,관광,2008,10,4,겨울,5578
일본,상용,2008,10,4,겨울,4080
일본,공용,2008,10,4,겨울,2831
일본,기타,2008,10,4,겨울,2718
미국,관광,2008,10,4,겨울,3923
미국,상용,2008,10,4,겨울,3099
미국,공용,2008,10,4,겨울,2075
미국,기타,2008,10,4,겨울,2003
베트남,관광,2008,10,4,겨울,2815
베트남,상용,2008,10,4,겨울,2027
베트남,공용,2008,10,4,겨울,1356
베트남,기타,2008,10,4,겨울,1388
태국,관광,2008,10,4,겨울,2809
태국,상용,2008,10,4,겨울,2146
태국,공용,2008,10,4,겨울,1338
태국,기타,2008,10,4,겨울,1414
중국,관광,2008,11,4,겨울,7001
중국,상용,2008,11,4,겨울,5086
중국,공용,2008,11,4,겨울,3390
중국,기타,2008,11,4,겨울,3476
일본,관광,2008,11,4,겨울,4588
일본,상용,2008,11,4,겨울,3351
일본,공용,2008,11,4,겨울,2346
일본,기타,2008,11,4,겨울,2319
미국,관광,2008,11,4,겨울,3531
미국,상용,2008,11,4,겨울,2530
미국,공용,2008,11,4,겨울,1732
미국,기타,2008,11,4,겨울,1752
베트남,관광,2008,11,4,겨울,2217
베트남,상용,2008,11,4,겨울,1683
베트남,공용,2008,11,4,겨울,1185
베트남,기타,2008,11,4,겨울,1171
태국,관광,2008,11,4,겨울,2296
태국,상용,2008,11,4,겨울,1720
태국,공용,2008,11,4,겨울,1149
태국,기타,2008,11,4,겨울,1134
중국,관광,2008,12,4,겨울,7299
중국,상용,2008,12,4,겨울,5322
중국,공용,2008,12,4,겨울,3549
중국,기타,2008,12,4,겨울,3614
일본,관광,2008,12,4,겨울,4860
일본,상용,2008,12,4,겨울,3597
일본,공용,2008,12,4,겨울,2411
일본,기타,2008,12,4,겨울,2434
미국,관광,2008,12,4,겨울,3653
미국,상용,2008,12,4,겨울,2745
미국,공용,2008,12,4,겨울,1766
미국,기타,2008,12,4,겨울,1775
베트남,관광,2008,12,4,겨울,2382
베트남,상용,2008,12,4,겨울,1836
베트남,공용,2008,12,4,겨울,1187
베트남,기타,2008,12,4,겨울,1223
태국,관광,2008,12,4,겨울,2479
태국,상용,2008,12,4,겨울,1850
태국,공용,2008,12,4,겨울,1182
태국,기타,2008,12,4,겨울,1225
중국,관광,2009,1,1,봄,5652
중국,상용,2009,1,1,봄,4313
중국,공용,2009,1,1,봄,2887
중국,기타,2009,1,1,봄,2868
일본,관광,2009,1,1,봄,3885
일본,상용,2009,1,1,봄,2845
일본,공용,2009,1,1,봄,1893
일본,기타,2009,1,1,봄,1954
미국,관광,2009,1,1,봄,2916
미국,상용,2009,1,1,봄,2210
미국,공용,2009,1,1,봄,1490
미국,기타,2009,1,1,봄,1463
베트남,관광,2009,1,1,봄,1852
베트남,상용,2009,1,1,봄,1418
베트남,공용,2009,1,1,봄,941
베트남,기타,2009,1,1,봄,983
태국,관광,2009,1,1,봄,1988
태국,상용,2009,1,1,봄,1459
태국,공용,2009,1,1,봄,1005
태국,기타,2009,1,1,봄,906
중국,관광,2009,2,1,봄,6192
중국,상용,2009,2,1,봄,4672
중국,공용,2009,2,1,봄,2951
중국,기타,2009,2,1,봄,3076
일본,관광,2009,2,1,봄,3980
일본,상용,2009,2,1,봄,3087
일본,공용,2009,2,1,봄,2101
일본,기타,2009,2,1,봄,2042
미국,관광,2009,2,1,봄,3030
미국,상용,2009,2,1,봄,2336
미국,공용,2009,2,1,봄,1587
미국,기타,2009,2,1,봄,1542
베트남,관광,2009,2,1,봄,2052
베트남,상용,2009,2,1,봄,1498
베트남,공용,2009,2,1,봄,973
베트남,기타,2009,2,1,봄,1019
태국,관광,2009,2,1,봄,2143
태국,상용,2009,2,1,봄,1559
태국,공용,2009,2,1,봄,1032
태국,기타,2009,2,1,봄,996
중국,관광,2009,3,1,봄,7553
중국,상용,2009,3,1,봄,5577
중국,공용,2009,3,1,봄,3777
중국,기타,2009,3,1,봄,3799
일본,관광,2009,3,1,봄,4975
일본,상용,2009,3,1,봄,3726
일본,공용,2009,3,1,봄,2447
일본,기타,2009,3,1,봄,2568
미국,관광,2009,3,1,봄,3782
미국,상용,2009,3,1,봄,2935
미국,공용,2009,3,1,봄,1819
미국,기타,2009,3,1,봄,1829
베트남,관광,2009,3,1,봄,2521
베트남,상용,2009,3,1,봄,1889
베트남,공용,2009,3,1,봄,1236
베트남,기타,2009,3,1,봄,1252
태국,관광,2009,3,1,봄,2600
태국,상용,2009,3,1,봄,1903
태국,공용,2009,3,1,봄,1297
태국,기타,2009,3,1,봄,1274
중국,관광,2009,4,2,여름,7855
중국,상용,2009,4,2,여름,5963
중국,공용,2009,4,2,여름,3872
중국,기타,2009,4,2,여름,3952
일본,관광,2009,4,2,여름,5182
일본,상용,2009,4,2,여름,4008
일본,공용,2009,4,2,여름,2552
일본,기타,2009,4,2,여름,2746
미국,관광,2009,4,2,여름,3993
미국,상용,2009,4,2,여름,2984
미국,공용,2009,4,2,여름,1997
미국,기타,2009,4,2,여름,1994
베트남,관광,2009,4,2,여름,2674
베트남,상용,2009,4,2,여름,2048
베트남,공용,2009,4,2,여름,1323
베트남,기타,2009,4,2,여름,1298
태국,관광,2009,4,2,여름,2651
태국,상용,2009,4,2,여름,1920
태국,공용,2009,4,2,여름,1303
태국,기타,2009,4,2,여름,1336
중국,관광,2009,5,2,여름,7248
중국,상용,2009,5,2,여름,5437
중국,공용,2009,5,2,여름,3566
중국,기타,2009,5,2,여름,3591
일본,관광,2009,5,2,여름,4872
일본,상용,2009,5,2,여름,3701
일본,공용,2009,5,2,여름,2374
일본,기타,2009,5,2,여름,2382
미국,관광,2009,5,2,여름,3637
미국,상용,2009,5,2,여름,2681
미국,공용,2009,5,2,여름,1792
미국,기타,2009,5,2,여름,1861
베트남,관광,2009,5,2,여름,2343
베트남,상용,2009,5,2,여름,1818
베트남,공용,2009,5,2,여름,1184
베트남,기타,2009,5,2,여름,1191
태국,관광,2009,5,2,여름,2425
태국,상용,2009,5,2,여름,1783
태국,공용,2009,5,2,여름,1219
태국,기타,2009,5,2,여름,1199
중국,관광,2009,6,2,여름,6841
중국,상용,2009,6,2,여름,5106
중국,공용,2009,6,2,여름,3354
중국,기타,2009,6,2,여름,3466
일본,관광,2009,6,2,여름,4518
일본,상용,2009,6,2,여름,3339
일본,공용,2009,6,2,여름,2254
일본,기타,2009,6,2,여름,2294
미국,관광,2009,6,2,여름,3575
미국,상용,2009,6,2,여름,2548
미국,공용,2009,6,2,여름,1715
미국,기타,2009,6,2,여름,1716
베트남,관광,2009,6,2,여름,2318
베트남,상용,2009,6,2,여름,1703
베트남,공용,2009,6,2,여름,1115
베트남,기타,2009,6,2,여름,1070
태국,관광,2009,6,2,여름,2288
태국,상용,2009,6,2,여름,1719
태국,공용,2009,6,2,여름,1135
태국,기타,2009,6,2,여름,1139
중국,관광,2009,7,3,가을,7230
중국,상용,2009,7,3,가을,5425
중국,공용,2009,7,3,가을,3582
중국,기타,2009,7,3,가을,3596
일본,관광,2009,7,3,가을,4911
일본,상용,2009,7,3,가을,3606
일본,공용,2009,7,3,가을,2337
일본,기타,2009,7,3,가을,2335
미국,관광,2009,7,3,가을,3560
미국,상용,2009,7,3,가을,2810
미국,공용,2009,7,3,가을,1795
미국,기타,2009,7,3,가을,1798
베트남,관광,2009,7,3,가을,2412
베트남,상용,2009,7,3,가을,1773
베트남,공용,2009,7,3,가을,1228
베트남,기타,2009,7,3,가을,1201
태국,관광,2009,7,3,가을,2411
태국,상용,2009,7,3,가을,1845
태국,공용,2009,7,3,가을,1207
태국,기타,2009,7,3,가을,1167
중국,관광,2009,8,3,가을,8389
중국,상용,2009,8,3,가을,6302
중국,공용,2009,8,3,가을,4012
중국,기타,2009,8,3,가을,4131
일본,관광,2009,8,3,가을,5547
일본,상용,2009,8,3,가을,4175
일본,공용,2009,8,3,가을,2790
일본,기타,2009,8,3,가을,2729
미국,관광,2009,8,3,가을,4202
미국,상용,2009,8,3,가을,3134
미국,공용,2009,8,3,가을,2042
미국,기타,2009,8,3,가을,2103
베트남,관광,2009,8,3,가을,2798
베트남,상용,2009,8,3,가을,2105
베트남,공용,2009,8,3,가을,1397
베트남,기타,2009,8,3,가을,1423
태국,관광,2009,8,3,가을,2675
태국,상용,2009,8,3,가을,1990
태국,공용,2009,8,3,가을,1370
태국,기타,2009,8,3,가을,1364
중국,관광,2009,9,3,가을,7401
중국,상용,2009,9,3,가을,5675
중국,공용,2009,9,3,가을,3672
중국,기타,2009,9,3,가을,3837
일본,관광,2009,9,3,가을,4879
일본,상용,2009,9,3,가을,3763
일본,공용,2009,9,3,가을,2479
일본,기타,2009,9,3,가을,2506
미국,관광,2009,9,3,가을,3748
미국,상용,2009,9,3,가을,2790
미국,공용,2009,9,3,가을,1872
미국,기타,2009,9,3,가을,1832
베트남,관광,2009,9,3,가을,2520
베트남,상용,2009,9,3,가을,1901
베트남,공용,2009,9,3,가을,1195
베트남,기타,2009,9,3,가을,1232
태국,관광,2009,9,3,가을,2573
태국,상용,2009,9,3,가을,1896
태국,공용,2009,9,3,가을,1217
태국,기타,2009,9,3,가을,1235
중국,관광,2009,10,4,겨울,8580
중국,상용,2009,10,4,겨울,6510
중국,공용,2009,10,4,겨울,4370
중국,기타,2009,10,4,겨울,4165
일본,관광,2009,10,4,겨울,5807
일본,상용,2009,10,4,겨울,4394
일본,공용,2009,10,4,겨울,2838
일본,기타,2009,10,4,겨울,2851
미국,관광,2009,10,4,겨울,4293
미국,상용,2009,10,4,겨울,3305
미국,공용,2009,10,4,겨울,2202
미국,기타,2009,10,4,겨울,2151
베트남,관광,2009,10,4,겨울,2861
베트남,상용,2009,10,4,겨울,2085
베트남,공용,2009,10,4,겨울,1439
베트남,기타,2009,10,4,겨울,1454
태국,관광,2009,10,4,겨울,2914
태국,상용,2009,10,4,겨울,2266
태국,공용,2009,10,4,겨울,1417
태국,기타,2009,10,4,겨울,1473
중국,관광,2009,11,4,겨울,7003
중국,상용,2009,11,4,겨울,5582
중국,공용,2009,11,4,겨울,3588
중국,기타,2009,11,4,겨울,3545
일본,관광,2009,11,4,겨울,4774
일본,상용,2009,11,4,겨울,3649
일본,공용,2009,11,4,겨울,2451
일본,기타,2009,11,4,겨울,2356
미국,관광,2009,11,4,겨울,3595
미국,상용,2009,11,4,겨울,2654
미국,공용,2009,11,4,겨울,1813
미국,기타,2009,11,4,겨울,1747
베트남,관광,2009,11,4,겨울,2435
베트남,상용,2009,11,4,겨울,1818
베트남,공용,2009,11,4,겨울,1222
베트남,기타,2009,11,4,겨울,1250
태국,관광,2009,11,4,겨울,2381
태국,상용,2009,11,4,겨울,1740
태국,공용,2009,11,4,겨울,1176
태국,기타,2009,11,4,겨울,1183
중국,관광,2009,12,4,겨울,7444
중국,상용,2009,12,4,겨울,5668
중국,공용,2009,12,4,겨울,3785
중국,기타,2009,12,4,겨울,3812
일본,관광,2009,12,4,겨울,5100
일본,상용,2009,12,4,겨울,3784
일본,공용,2009,12,4,겨울,2453
일본,기타,2009,12,4,겨울,2562
미국,관광,2009,12,4,겨울,3696
미국,상용,2009,12,4,겨울,2880
미국,공용,2009,12,4,겨울,1871
미국,기타,2009,12,4,겨울,1908
베트남,관광,2009,12,4,겨울,2578
베트남,상용,2009,12,4,겨울,1955
베트남,공용,2009,12,4,겨울,1291
베트남,기타,2009,12,4,겨울,1250
태국,관광,2009,12,4,겨울,2423
태국,상용,2009,12,4,겨울,1856
태국,공용,2009,12,4,겨울,1287
태국,기타,2009,12,4,겨울,1334
중국,관광,2010,1,1,봄,6211
중국,상용,2010,1,1,봄,4474
중국,공용,2010,1,1,봄,2947
중국,기타,2010,1,1,봄,3019
일본,관광,2010,1,1,봄,4014
일본,상용,2010,1,1,봄,3055
일본,공용,2010,1,1,봄,1986
일본,기타,2010,1,1,봄,1967
미국,관광,2010,1,1,봄,3093
미국,상용,2010,1,1,봄,2246
미국,공용,2010,1,1,봄,1524
미국,기타,2010,1,1,봄,1454
베트남,관광,2010,1,1,봄,2017
베트남,상용,2010,1,1,봄,1503
베트남,공용,2010,1,1,봄,1000
베트남,기타,2010,1,1,봄,944
태국,관광,2010,1,1,봄,2044
태국,상용,2010,1,1,봄,1505
태국,공용,2010,1,1,봄,922
태국,기타,2010,1,1,봄,995
중국,관광,2010,2,1,봄,6471
중국,상용,2010,2,1,봄,4963
중국,공용,2010,2,1,봄,3199
중국,기타,2010,2,1,봄,3177
일본,관광,2010,2,1,봄,4132
일본,상용,2010,2,1,봄,3239
일본,공용,2010,2,1,봄,2128
일본,기타,2010,2,1,봄,2161
미국,관광,2010,2,1,봄,3184
미국,상용,2010,2,1,봄,2353
미국,공용,2010,2,1,봄,1613
미국,기타,2010,2,1,봄,1601
베트남,관광,2010,2,1,봄,2125
베트남,상용,2010,2,1,봄,1666
베트남,공용,2010,2,1,봄,1075
베트남,기타,2010,2,1,봄,1045
태국,관광,2010,2,1,봄,2157
태국,상용,2010,2,1,봄,1586
태국,공용,2010,2,1,봄,1061
태국,기타,2010,2,1,봄,1018
중국,관광,2010,3,1,봄,7849
중국,상용,2010,3,1,봄,5968
중국,공용,2010,3,1,봄,3918
중국,기타,2010,3,1,봄,4044
일본,관광,2010,3,1,봄,5266
일본,상용,2010,3,1,봄,3994
일본,공용,2010,3,1,봄,2634
일본,기타,2010,3,1,봄,2648
미국,관광,2010,3,1,봄,3876
미국,상용,2010,3,1,봄,2872
미국,공용,2010,3,1,봄,1930
미국,기타,2010,3,1,봄,1845
베트남,관광,2010,3,1,봄,2690
베트남,상용,2010,3,1,봄,2070
베트남,공용,2010,3,1,봄,1306
베트남,기타,2010,3,1,봄,1314
태국,관광,2010,3,1,봄,2592
태국,상용,2010,3,1,봄,2034
태국,공용,2010,3,1,봄,1365
태국,기타,2010,3,1,봄,1344
중국,관광,2010,4,2,여름,8249
중국,상용,2010,4,2,여름,6208
중국,공용,2010,4,2,여름,4093
중국,기타,2010,4,2,여름,4066
일본,관광,2010,4,2,여름,5361
일본,상용,2010,4,2,여름,4126
일본,공용,2010,4,2,여름,2802
일본,기타,2010,4,2,여름,2724
미국,관광,2010,4,2,여름,4179
미국,상용,2010,4,2,여름,3028
미국,공용,2010,4,2,여름,2067
미국,기타,2010,4,2,여름,2053
베트남,관광,2010,4,2,여름,2681
베트남,상용,2010,4,2,여름,2065
베트남,공용,2010,4,2,여름,1353
베트남,기타,2010,4,2,여름,1344
태국,관광,2010,4,2,여름,2705
태국,상용,2010,4,2,여름,2096
태국,공용,2010,4,2,여름,1367
태국,기타,2010,4,2,여름,1356
중국,관광,2010,5,2,여름,7588
중국,상용,2010,5,2,여름,5597
중국,공용,2010,5,2,여름,3797
중국,기타,2010,5,2,여름,3766
일본,관광,2010,5,2,여름,4877
일본,상용,2010,5,2,여름,3788
일본,공용,2010,5,2,여름,2544
일본,기타,2010,5,2,여름,2616
미국,관광,2010,5,2,여름,3707
미국,상용,2010,5,2,여름,2780
미국,공용,2010,5,2,여름,1909
미국,기타,2010,5,2,여름,1877
베트남,관광,2010,5,2,여름,2481
베트남,상용,2010,5,2,여름,1921
베트남,공용,2010,5,2,여름,1273
베트남,기타,2010,5,2,여름,1311
태국,관광,2010,5,2,여름,2534
태국,상용,2010,5,2,여름,1846
태국,공용,2010,5,2,여름,1216
태국,기타,2010,5,2,여름,1293
중국,관광,2010,6,2,여름,7182
중국,상용,2010,6,2,여름,5504
중국,공용,2010,6,2,여름,3542
중국,기타,2010,6,2,여름,3616
일본,관광,2010,6,2,여름,4727
일본,상용,2010,6,2,여름,3630
일본,공용,2010,6,2,여름,2366
일본,기타,2010,6,2,여름,2405
미국,관광,2010,6,2,여름,3570
미국,상용,2010,6,2,여름,2557
미국,공용,2010,6,2,여름,1809
미국,기타,2010,6,2,여름,1737
베트남,관광,2010,6,2,여름,2382
베트남,상용,2010,6,2,여름,1727
베트남,공용,2010,6,2,여름,1148
베트남,기타,2010,6,2,여름,1166
태국,관광,2010,6,2,여름,2400
태국,상용,2010,6,2,여름,1749
태국,공용,2010,6,2,여름,1194
태국,기타,2010,6,2,여름,1242
중국,관광,2010,7,3,가을,7544
중국,상용,2010,7,3,가을,5635
중국,공용,2010,7,3,가을,3715
중국,기타,2010,7,3,가을,3771
일본,관광,2010,7,3,가을,5049
일본,상용,2010,7,3,가을,3635
일본,공용,2010,7,3,가을,2468
일본,기타,2010,7,3,가을,2527
미국,관광,2010,7,3,가을,3621
미국,상용,2010,7,3,가을,2925
미국,공용,2010,7,3,가을,1897
미국,기타,2010,7,3,가을,1834
베트남,관광,2010,7,3,가을,2538
베트남,상용,2010,7,3,가을,1846
베트남,공용,2010,7,3,가을,1243
베트남,기타,2010,7,3,가을,1183
태국,관광,2010,7,3,가을,2429
태국,상용,2010,7,3,가을,1906
태국,공용,2010,7,3,가을,1242
태국,기타,2010,7,3,가을,1240
중국,관광,2010,8,3,가을,8539
중국,상용,2010,8,3,가을,6413
중국,공용,2010,8,3,가을,4342
중국,기타,2010,8,3,가을,4332
일본,관광,2010,8,3,가을,5615
일본,상용,2010,8,3,가을,4273
일본,공용,2010,8,3,가을,2890
일본,기타,2010,8,3,가을,2898
미국,관광,2010,8,3,가을,4263
미국,상용,2010,8,3,가을,3269
미국,공용,2010,8,3,가을,2131
미국,기타,2010,8,3,가을,2169
베트남,관광,2010,8,3,가을,2992
베트남,상용,2010,8,3,가을,2189
베트남,공용,2010,8,3,가을,1402
베트남,기타,2010,8,3,가을,1460
태국,관광,2010,8,3,가을,2861
태국,상용,2010,8,3,가을,2167
태국,공용,2010,8,3,가을,1432
태국,기타,2010,8,3,가을,1426
중국,관광,2010,9,3,가을,7786
중국,상용,2010,9,3,가을,5784
중국,공용,2010,9,3,가을,4042
중국,기타,2010,9,3,가을,3892
일본,관광,2010,9,3,가을,5298
일본,상용,2010,9,3,가을,3953
일본,공용,2010,9,3,가을,2645
일본,기타,2010,9,3,가을,2658
미국,관광,2010,9,3,가을,3878
미국,상용,2010,9,3,가을,2992
미국,공용,2010,9,3,가을,1935
미국,기타,2010,9,3,가을,1938
베트남,관광,2010,9,3,가을,2523
베트남,상용,2010,9,3,가을,2000
베트남,공용,2010,9,3,가을,1331
베트남,기타,2010,9,3,가을,1348
태국,관광,2010,9,3,가을,2722
태국,상용,2010,9,3,가을,1927
태국,공용,2010,9,3,가을,1339
태국,기타,2010,9,3,가을,1315
중국,관광,2010,10,4,겨울,8965
중국,상용,2010,10,4,겨울,6770
중국,공용,2010,10,4,겨울,4453
중국,기타,2010,10,4,겨울,4599
일본,관광,2010,10,4,겨울,6070
일본,상용,2010,10,4,겨울,4525
일본,공용,2010,10,4,겨울,3033
일본,기타,2010,10,4,겨울,2991
미국,관광,2010,10,4,겨울,4632
미국,상용,2010,10,4,겨울,3436
미국,공용,2010,10,4,겨울,2242
미국,기타,2010,10,4,겨울,2222
베트남,관광,2010,10,4,겨울,2884
베트남,상용,2010,10,4,겨울,2336
베트남,공용,2010,10,4,겨울,1531
베트남,기타,2010,10,4,겨울,1517
태국,관광,2010,10,4,겨울,2938
태국,상용,2010,10,4,겨울,2162
태국,공용,2010,10,4,겨울,1519
태국,기타,2010,10,4,겨울,1539
중국,관광,2010,11,4,겨울,7376
중국,상용,2010,11,4,겨울,5583
중국,공용,2010,11,4,겨울,3753
중국,기타,2010,11,4,겨울,3725
일본,관광,2010,11,4,겨울,5076
일본,상용,2010,11,4,겨울,3715
일본,공용,2010,11,4,겨울,2617
일본,기타,2010,11,4,겨울,2479
미국,관광,2010,11,4,겨울,3658
미국,상용,2010,11,4,겨울,2820
미국,공용,2010,11,4,겨울,1833
미국,기타,2010,11,4,겨울,1897
베트남,관광,2010,11,4,겨울,2561
베트남,상용,2010,11,4,겨울,1867
베트남,공용,2010,11,4,겨울,1210
베트남,기타,2010,11,4,겨울,1213
태국,관광,2010,11,4,겨울,2458
태국,상용,2010,11,4,겨울,1827
태국,공용,2010,11,4,겨울,1273
태국,기타,2010,11,4,겨울,1251
중국,관광,2010,12,4,겨울,7726
중국,상용,2010,12,4,겨울,5822
중국,공용,2010,12,4,겨울,3888
중국,기타,2010,12,4,겨울,3845
일본,관광,2010,12,4,겨울,5254
일본,상용,2010,12,4,겨울,3889
일본,공용,2010,12,4,겨울,2609
일본,기타,2010,12,4,겨울,2642
미국,관광,2010,12,4,겨울,3922
미국,상용,2010,12,4,겨울,2959
미국,공용,2010,12,4,겨울,1995
미국,기타,2010,12,4,겨울,1969
베트남,관광,2010,12,4,겨울,2692
베트남,상용,2010,12,4,겨울,1973
베트남,공용,2010,12,4,겨울,1323
베트남,기타,2010,12,4,겨울,1295
태국,관광,2010,12,4,겨울,2654
태국,상용,2010,12,4,겨울,1955
